OID_,X,Y,smi21_Clip_Band_1
1,329760.000000000000000,4037640.000000000000000,0.1276099
2,329790.000000000000000,4037640.000000000000000,0.1373668
3,329820.000000000000000,4037640.000000000000000,0.1346099
4,329850.000000000000000,4037640.000000000000000,0.1362352
5,329880.000000000000000,4037640.000000000000000,0.1349375
6,329910.000000000000000,4037640.000000000000000,0.1488129
7,329940.000000000000000,4037640.000000000000000,0.1649810
8,329970.000000000000000,4037640.000000000000000,0.1644613
9,330000.000000000000000,4037640.000000000000000,0.1647451
10,330030.000000000000000,4037640.000000000000000,0.1671153
11,330060.000000000000000,4037640.000000000000000,0.1591251
12,330090.000000000000000,4037640.000000000000000,0.1507687
13,330120.000000000000000,4037640.000000000000000,0.1515632
14,330150.000000000000000,4037640.000000000000000,0.1547038
15,330180.000000000000000,4037640.000000000000000,0.1754727
16,330210.000000000000000,4037640.000000000000000,0.1778846
17,330240.000000000000000,4037640.000000000000000,0.1571494
18,330270.000000000000000,4037640.000000000000000,0.1467872
19,330300.000000000000000,4037640.000000000000000,0.1539742
20,330330.000000000000000,4037640.000000000000000,0.1682499
21,330360.000000000000000,4037640.000000000000000,0.1507472
22,330390.000000000000000,4037640.000000000000000,0.1532183
23,330420.000000000000000,4037640.000000000000000,0.1495516
24,330450.000000000000000,4037640.000000000000000,0.1423575
25,330480.000000000000000,4037640.000000000000000,0.1675131
26,330510.000000000000000,4037640.000000000000000,0.1814114
27,330540.000000000000000,4037640.000000000000000,0.1552845
28,330570.000000000000000,4037640.000000000000000,0.1444162
29,330600.000000000000000,4037640.000000000000000,0.1578332
30,330630.000000000000000,4037640.000000000000000,0.1637697
31,330660.000000000000000,4037640.000000000000000,0.1563238
32,330690.000000000000000,4037640.000000000000000,0.1642833
33,330720.000000000000000,4037640.000000000000000,0.1631643
34,330750.000000000000000,4037640.000000000000000,0.1561636
35,330780.000000000000000,4037640.000000000000000,0.1446375
36,330810.000000000000000,4037640.000000000000000,0.1381577
37,330840.000000000000000,4037640.000000000000000,0.1416613
38,330870.000000000000000,4037640.000000000000000,0.1501192
39,330900.000000000000000,4037640.000000000000000,0.1457109
40,330930.000000000000000,4037640.000000000000000,0.1501598
41,330960.000000000000000,4037640.000000000000000,0.1447908
42,330990.000000000000000,4037640.000000000000000,0.1365815
43,331020.000000000000000,4037640.000000000000000,0.1421564
44,331050.000000000000000,4037640.000000000000000,0.1545670
45,331080.000000000000000,4037640.000000000000000,0.1547520
46,331110.000000000000000,4037640.000000000000000,0.1864779
47,331140.000000000000000,4037640.000000000000000,0.1654036
48,331170.000000000000000,4037640.000000000000000,0.1639614
49,331200.000000000000000,4037640.000000000000000,0.1717930
50,331230.000000000000000,4037640.000000000000000,0.1705064
51,331260.000000000000000,4037640.000000000000000,0.1591083
52,331290.000000000000000,4037640.000000000000000,0.1613003
53,331320.000000000000000,4037640.000000000000000,0.1598749
54,331350.000000000000000,4037640.000000000000000,0.1545921
55,331380.000000000000000,4037640.000000000000000,0.1506059
