OID_,X,Y,smi_22_Band_1
1,762840.000000000000000,4157160.000000000000000,0.2798802
2,762870.000000000000000,4157160.000000000000000,0.2774147
3,762900.000000000000000,4157160.000000000000000,0.3429310
4,762930.000000000000000,4157160.000000000000000,0.3391516
5,762960.000000000000000,4157160.000000000000000,0.3197431
6,762990.000000000000000,4157160.000000000000000,0.4397399
7,763020.000000000000000,4157160.000000000000000,0.3882197
8,763050.000000000000000,4157160.000000000000000,0.3099626
9,763080.000000000000000,4157160.000000000000000,0.3427831
10,763110.000000000000000,4157160.000000000000000,0.2410197
11,763140.000000000000000,4157160.000000000000000,0.2864651
12,763170.000000000000000,4157160.000000000000000,0.2118639
13,763200.000000000000000,4157160.000000000000000,0.1931547
14,763230.000000000000000,4157160.000000000000000,0.1536235
15,763260.000000000000000,4157160.000000000000000,0.1782136
16,763290.000000000000000,4157160.000000000000000,0.1590406
17,763320.000000000000000,4157160.000000000000000,0.1401933
18,763350.000000000000000,4157160.000000000000000,0.2321624
19,763380.000000000000000,4157160.000000000000000,0.1711190
20,763410.000000000000000,4157160.000000000000000,0.2460031
21,763440.000000000000000,4157160.000000000000000,0.2865974
22,763470.000000000000000,4157160.000000000000000,0.3238896
23,763500.000000000000000,4157160.000000000000000,0.2196250
24,763530.000000000000000,4157160.000000000000000,0.2056069
25,763560.000000000000000,4157160.000000000000000,0.2744109
26,763590.000000000000000,4157160.000000000000000,0.3404170
27,763620.000000000000000,4157160.000000000000000,0.3207577
28,763650.000000000000000,4157160.000000000000000,0.2358589
29,763680.000000000000000,4157160.000000000000000,0.2109981
30,763710.000000000000000,4157160.000000000000000,0.2346221
31,763740.000000000000000,4157160.000000000000000,0.2743228
32,763770.000000000000000,4157160.000000000000000,0.3262647
33,763800.000000000000000,4157160.000000000000000,0.3540533
34,763830.000000000000000,4157160.000000000000000,0.3637712
35,763860.000000000000000,4157160.000000000000000,0.3465642
36,763890.000000000000000,4157160.000000000000000,0.4039189
37,763920.000000000000000,4157160.000000000000000,0.5218639
38,763950.000000000000000,4157160.000000000000000,0.4600912
39,763980.000000000000000,4157160.000000000000000,0.3922828
40,764010.000000000000000,4157160.000000000000000,0.4240167
41,764040.000000000000000,4157160.000000000000000,0.3682698
42,764070.000000000000000,4157160.000000000000000,0.3852042
43,764100.000000000000000,4157160.000000000000000,0.3212297
44,764130.000000000000000,4157160.000000000000000,0.2815161
45,764160.000000000000000,4157160.000000000000000,0.2267655
46,764190.000000000000000,4157160.000000000000000,0.2680668
47,764220.000000000000000,4157160.000000000000000,0.1822473
48,764250.000000000000000,4157160.000000000000000,0.1937714
49,764280.000000000000000,4157160.000000000000000,0.2446665
50,764310.000000000000000,4157160.000000000000000,0.3138038
51,764340.000000000000000,4157160.000000000000000,0.4886086
52,764370.000000000000000,4157160.000000000000000,0.4559753
53,764400.000000000000000,4157160.000000000000000,0.4405561
54,764430.000000000000000,4157160.000000000000000,0.5179905
55,764460.000000000000000,4157160.000000000000000,0.6199399
56,764490.000000000000000,4157160.000000000000000,0.5859956
57,764520.000000000000000,4157160.000000000000000,0.4736522
58,764550.000000000000000,4157160.000000000000000,0.4298965
59,764580.000000000000000,4157160.000000000000000,0.4768468
60,764610.000000000000000,4157160.000000000000000,0.4353249
61,764640.000000000000000,4157160.000000000000000,0.3595065
62,764670.000000000000000,4157160.000000000000000,0.1929961
63,764700.000000000000000,4157160.000000000000000,0.2718240
64,764730.000000000000000,4157160.000000000000000,0.4465895
65,764760.000000000000000,4157160.000000000000000,0.4151773
66,764790.000000000000000,4157160.000000000000000,0.5139518
67,764820.000000000000000,4157160.000000000000000,0.4515061
68,764850.000000000000000,4157160.000000000000000,0.2839628
69,764880.000000000000000,4157160.000000000000000,0.2071602
70,764910.000000000000000,4157160.000000000000000,0.1788842
71,764940.000000000000000,4157160.000000000000000,0.1664560
72,764970.000000000000000,4157160.000000000000000,0.2161547
73,765000.000000000000000,4157160.000000000000000,0.2876807
74,765030.000000000000000,4157160.000000000000000,0.3430516
75,765060.000000000000000,4157160.000000000000000,0.4198058
76,765090.000000000000000,4157160.000000000000000,0.4646244
77,765120.000000000000000,4157160.000000000000000,0.4977794
78,765150.000000000000000,4157160.000000000000000,0.4491408
79,765180.000000000000000,4157160.000000000000000,0.3620134
80,765210.000000000000000,4157160.000000000000000,0.3456506
81,765240.000000000000000,4157160.000000000000000,0.3369108
82,765270.000000000000000,4157160.000000000000000,0.3653897
83,765300.000000000000000,4157160.000000000000000,0.4650300
84,765330.000000000000000,4157160.000000000000000,0.2749705
85,765360.000000000000000,4157160.000000000000000,0.2322622
86,765390.000000000000000,4157160.000000000000000,0.3394592
87,765420.000000000000000,4157160.000000000000000,0.2798210
88,765450.000000000000000,4157160.000000000000000,0.2913187
89,765480.000000000000000,4157160.000000000000000,0.2118614
90,765510.000000000000000,4157160.000000000000000,0.1921596
91,765540.000000000000000,4157160.000000000000000,0.2052810
92,765570.000000000000000,4157160.000000000000000,0.2990515
93,765600.000000000000000,4157160.000000000000000,0.3220773
94,765630.000000000000000,4157160.000000000000000,0.2417109
95,765660.000000000000000,4157160.000000000000000,0.1877868
96,765690.000000000000000,4157160.000000000000000,0.1990033
97,765720.000000000000000,4157160.000000000000000,0.2247354
98,765750.000000000000000,4157160.000000000000000,0.1926535
99,765780.000000000000000,4157160.000000000000000,0.2241190
100,765810.000000000000000,4157160.000000000000000,0.2127262
101,765840.000000000000000,4157160.000000000000000,0.1804426
102,765870.000000000000000,4157160.000000000000000,0.2391188
